Organization,Country,ISO_Alpha3,Region,Scope,Value_Chain,Commodity,Engagements,Member_Type,Activity_Locations,Membership_Structure,Indirect_Members,Indirect_Member_Countries,Indirect_Member_Commodity,Presence_Type,Website,Source_Country_HQ,Source_Active_Engagements_Projects,Official_Source_URL,Official_Description,Official_Notes
International Food & Beverage Alliance (IFBA),United Kingdom,GBR,Europe,Global,Processing / Manufacturing,Processed food & beverages,3,Companies,Switzerland; United States; United Kingdom; France,Closed corporate alliance,Twelve multinational food and non-alcoholic beverage companies: Coca-Cola; Danone; Ferrero; General Mills; Kellogg’s; Mars; McDonald’s; Mondelēz International; Nestlé; PepsiCo; Unilever; Associated British Foods (ABF).,N/A,N/A,Activity,https://ifballiance.org/,HQ: Switzerland,Industry commitments on nutrition; responsible marketing; health reporting,https://ifballiance.org/about-us/,"IFBA was founded in 2008 by the CEOs of leading food and non-alcoholic beverage companies to empower consumers to eat balanced diets and live healthier lives, in support of the World Health Organization’s efforts to improve global public health.",Switzerland-based International Food & Beverage Alliance.
International Food & Beverage Alliance (IFBA),France,FRA,Europe,Global,Processing / Manufacturing,Processed food & beverages,3,Companies,Switzerland; United States; United Kingdom; France,Closed corporate alliance,Twelve multinational food and non-alcoholic beverage companies: Coca-Cola; Danone; Ferrero; General Mills; Kellogg’s; Mars; McDonald’s; Mondelēz International; Nestlé; PepsiCo; Unilever; Associated British Foods (ABF).,N/A,N/A,Activity,https://ifballiance.org/,HQ: Switzerland,Industry commitments on nutrition; responsible marketing; health reporting,https://ifballiance.org/about-us/,"IFBA was founded in 2008 by the CEOs of leading food and non-alcoholic beverage companies to empower consumers to eat balanced diets and live healthier lives, in support of the World Health Organization’s efforts to improve global public health.",Switzerland-based International Food & Beverage Alliance.
International Seed Federation (ISF),Switzerland,CHE,Europe,Global,Input Providers,Seeds,3,Companies + Associations,Switzerland; United States; Netherlands; Kenya; Argentina,Federated + corporate,"National seed associations and direct corporate members representing thousands of seed companies, including Bayer Crop Science; Corteva Agriscience; Syngenta Group; BASF; Limagrain; KWS; Sakata Seed.",Close to 80 countries,"Seed breeding, seed trade, seed health/testing and related services",HQ,https://worldseed.org/,HQ: Switzerland,Seed trade policy advocacy; seed health standards; international seed movement,https://worldseed.org/about/,"ISF is a non-governmental, non-profit making organization. ISF has represented its members’ interests since 1924 and is widely regarded as the voice of the global seed industry.",Official website uses the worldseed.org domain for ISF.
International Seed Federation (ISF),United States,USA,North America,Global,Input Providers,Seeds,3,Companies + Associations,Switzerland; United States; Netherlands; Kenya; Argentina,Federated + corporate,"National seed associations and direct corporate members representing thousands of seed companies, including Bayer Crop Science; Corteva Agriscience; Syngenta Group; BASF; Limagrain; KWS; Sakata Seed.",Close to 80 countries,"Seed breeding, seed trade, seed health/testing and related services",Activity,https://worldseed.org/,HQ: Switzerland,Seed trade policy advocacy; seed health standards; international seed movement,https://worldseed.org/about/,"ISF is a non-governmental, non-profit making organization. ISF has represented its members’ interests since 1924 and is widely regarded as the voice of the global seed industry.",Official website uses the worldseed.org domain for ISF.
International Seed Federation (ISF),Netherlands,NLD,Europe,Global,Input Providers,Seeds,3,Companies + Associations,Switzerland; United States; Netherlands; Kenya; Argentina,Federated + corporate,"National seed associations and direct corporate members representing thousands of seed companies, including Bayer Crop Science; Corteva Agriscience; Syngenta Group; BASF; Limagrain; KWS; Sakata Seed.",Close to 80 countries,"Seed breeding, seed trade, seed health/testing and related services",Activity,https://worldseed.org/,HQ: Switzerland,Seed trade policy advocacy; seed health standards; international seed movement,https://worldseed.org/about/,"ISF is a non-governmental, non-profit making organization. ISF has represented its members’ interests since 1924 and is widely regarded as the voice of the global seed industry.",Official website uses the worldseed.org domain for ISF.
International Seed Federation (ISF),Kenya,KEN,Africa,Global,Input Providers,Seeds,3,Companies + Associations,Switzerland; United States; Netherlands; Kenya; Argentina,Federated + corporate,"National seed associations and direct corporate members representing thousands of seed companies, including Bayer Crop Science; Corteva Agriscience; Syngenta Group; BASF; Limagrain; KWS; Sakata Seed.",Close to 80 countries,"Seed breeding, seed trade, seed health/testing and related services",Activity,https://worldseed.org/,HQ: Switzerland,Seed trade policy advocacy; seed health standards; international seed movement,https://worldseed.org/about/,"ISF is a non-governmental, non-profit making organization. ISF has represented its members’ interests since 1924 and is widely regarded as the voice of the global seed industry.",Official website uses the worldseed.org domain for ISF.
International Seed Federation (ISF),Argentina,ARG,South America,Global,Input Providers,Seeds,3,Companies + Associations,Switzerland; United States; Netherlands; Kenya; Argentina,Federated + corporate,"National seed associations and direct corporate members representing thousands of seed companies, including Bayer Crop Science; Corteva Agriscience; Syngenta Group; BASF; Limagrain; KWS; Sakata Seed.",Close to 80 countries,"Seed breeding, seed trade, seed health/testing and related services",Activity,https://worldseed.org/,HQ: Switzerland,Seed trade policy advocacy; seed health standards; international seed movement,https://worldseed.org/about/,"ISF is a non-governmental, non-profit making organization. ISF has represented its members’ interests since 1924 and is widely regarded as the voice of the global seed industry.",Official website uses the worldseed.org domain for ISF.
Nuffield International,Australia,AUS,Oceania,Global,Farmer education & leadership,Multi-commodity,2,Individuals via national bodies,Australia; United Kingdom; Canada; New Zealand; Japan; Chile,Federated (national programs),"National Nuffield Farming Scholarship organizations from member countries (Australia; Canada; France; Ireland; Netherlands; New Zealand; United Kingdom; Zimbabwe) and associate countries, representing individual farmer-scholars and alumni.",Australia; Canada; France; Ireland; Netherlands; New Zealand; United Kingdom; Zimbabwe; Brazil; Kenya; USA; South Africa; Chile; Japan; Germany; Poland,"Multi-commodity agriculture leadership, research and farm management",HQ,http://nuffieldinternational.org/,Global,Agricultural leadership scholarships; international research travel and conferences,http://nuffieldinternational.org/about,"Nuffield International is a unique global network of farmers and agri-professionals that focuses on personal capacity building; excellence in agricultural production, distribution, research, and management; and local, national, and global thought leadership.",
Nuffield International,United Kingdom,GBR,Europe,Global,Farmer education & leadership,Multi-commodity,2,Individuals via national bodies,Australia; United Kingdom; Canada; New Zealand; Japan; Chile,Federated (national programs),"National Nuffield Farming Scholarship organizations from member countries (Australia; Canada; France; Ireland; Netherlands; New Zealand; United Kingdom; Zimbabwe) and associate countries, representing individual farmer-scholars and alumni.",Australia; Canada; France; Ireland; Netherlands; New Zealand; United Kingdom; Zimbabwe; Brazil; Kenya; USA; South Africa; Chile; Japan; Germany; Poland,"Multi-commodity agriculture leadership, research and farm management",Activity,http://nuffieldinternational.org/,Global,Agricultural leadership scholarships; international research travel and conferences,http://nuffieldinternational.org/about,"Nuffield International is a unique global network of farmers and agri-professionals that focuses on personal capacity building; excellence in agricultural production, distribution, research, and management; and local, national, and global thought leadership.",
Nuffield International,Canada,CAN,North America,Global,Farmer education & leadership,Multi-commodity,2,Individuals via national bodies,Australia; United Kingdom; Canada; New Zealand; Japan; Chile,Federated (national programs),"National Nuffield Farming Scholarship organizations from member countries (Australia; Canada; France; Ireland; Netherlands; New Zealand; United Kingdom; Zimbabwe) and associate countries, representing individual farmer-scholars and alumni.",Australia; Canada; France; Ireland; Netherlands; New Zealand; United Kingdom; Zimbabwe; Brazil; Kenya; USA; South Africa; Chile; Japan; Germany; Poland,"Multi-commodity agriculture leadership, research and farm management",Activity,http://nuffieldinternational.org/,Global,Agricultural leadership scholarships; international research travel and conferences,http://nuffieldinternational.org/about,"Nuffield International is a unique global network of farmers and agri-professionals that focuses on personal capacity building; excellence in agricultural production, distribution, research, and management; and local, national, and global thought leadership.",
Nuffield International,New Zealand,NZL,Oceania,Global,Farmer education & leadership,Multi-commodity,2,Individuals via national bodies,Australia; United Kingdom; Canada; New Zealand; Japan; Chile,Federated (national programs),"National Nuffield Farming Scholarship organizations from member countries (Australia; Canada; France; Ireland; Netherlands; New Zealand; United Kingdom; Zimbabwe) and associate countries, representing individual farmer-scholars and alumni.",Australia; Canada; France; Ireland; Netherlands; New Zealand; United Kingdom; Zimbabwe; Brazil; Kenya; USA; South Africa; Chile; Japan; Germany; Poland,"Multi-commodity agriculture leadership, research and farm management",Activity,http://nuffieldinternational.org/,Global,Agricultural leadership scholarships; international research travel and conferences,http://nuffieldinternational.org/about,"Nuffield International is a unique global network of farmers and agri-professionals that focuses on personal capacity building; excellence in agricultural production, distribution, research, and management; and local, national, and global thought leadership.",
Nuffield International,Japan,JPN,Asia,Global,Farmer education & leadership,Multi-commodity,2,Individuals via national bodies,Australia; United Kingdom; Canada; New Zealand; Japan; Chile,Federated (national programs),"National Nuffield Farming Scholarship organizations from member countries (Australia; Canada; France; Ireland; Netherlands; New Zealand; United Kingdom; Zimbabwe) and associate countries, representing individual farmer-scholars and alumni.",Australia; Canada; France; Ireland; Netherlands; New Zealand; United Kingdom; Zimbabwe; Brazil; Kenya; USA; South Africa; Chile; Japan; Germany; Poland,"Multi-commodity agriculture leadership, research and farm management",Activity,http://nuffieldinternational.org/,Global,Agricultural leadership scholarships; international research travel and conferences,http://nuffieldinternational.org/about,"Nuffield International is a unique global network of farmers and agri-professionals that focuses on personal capacity building; excellence in agricultural production, distribution, research, and management; and local, national, and global thought leadership.",
Nuffield International,Chile,CHL,South America,Global,Farmer education & leadership,Multi-commodity,2,Individuals via national bodies,Australia; United Kingdom; Canada; New Zealand; Japan; Chile,Federated (national programs),"National Nuffield Farming Scholarship organizations from member countries (Australia; Canada; France; Ireland; Netherlands; New Zealand; United Kingdom; Zimbabwe) and associate countries, representing individual farmer-scholars and alumni.",Australia; Canada; France; Ireland; Netherlands; New Zealand; United Kingdom; Zimbabwe; Brazil; Kenya; USA; South Africa; Chile; Japan; Germany; Poland,"Multi-commodity agriculture leadership, research and farm management",Activity,http://nuffieldinternational.org/,Global,Agricultural leadership scholarships; international research travel and conferences,http://nuffieldinternational.org/about,"Nuffield International is a unique global network of farmers and agri-professionals that focuses on personal capacity building; excellence in agricultural production, distribution, research, and management; and local, national, and global thought leadership.",
Nuffield Ireland,Ireland,IRL,Europe,National,Farmer education & leadership,Multi-commodity,4,Individuals,Ireland,Individual membership,"Irish Nuffield Farming Scholars and alumni, including farmers, agri-business leaders, advisors, and agri-food professionals.",N/A,N/A,HQ,https://nuffield.ie/,Ireland,leadership scholarship program; international study travel; annual conference; alumni network.,https://nuffield.ie/about-nuffield-ireland/,"Nuffield Ireland’s mission is to discover, inspire and support people to develop their capacity, character and confidence to promote positive change and world class leadership in agriculture, food and farming.",
Seafood Industry Australia,Australia,AUS,Oceania,National,Producers & industry representation,Seafood,3,Companies + Producer Groups,Australia,National industry body,"Australian wild-catch commercial fishers, aquaculture producers, processors, wholesalers, and seafood supply-chain businesses.",N/A,N/A,HQ,https://seafoodindustryaustralia.com.au/,Australia,Seafood industry advocacy; workforce development programs; trade and market engagement,https://seafoodindustryaustralia.com.au/about-us/,"Seafood Industry Australia (SIA) is the national peak-body representing the Australian seafood industry as a whole. With members from the wildcatch, aquaculture and post-harvest sectors of the Australian seafood industry, we are the voice of Australian seafood.",
Solutions from the Land,United States,USA,North America,National,Farmer-led sustainability advocacy,Multi-commodity,1,Farmer leaders + partners,United States,Network / partnership model,"No formal membership; led by a core group of Farmer Envoys and partner organizations from agriculture, agribusiness, conservation NGOs, and science communities.",Primarily United States (with international/UN engagement),"Multi-commodity farming, forestry, conservation, climate-smart agriculture",HQ,https://www.solutionsfromtheland.org/,USA,"Farmer-led climate, conservation, and land-use policy initiatives",https://www.solutionsfromtheland.org/about/,"Solutions from the Land (SfL) has evolved into a 501c3 nonprofit operating in eight states, offering national and global advocacy for land-based solutions to world problems.",
U.S. Dairy Export Council (USDEC),United States,USA,North America,National,Trade (Export Promotion),Dairy,3,Companies + Cooperatives,"China, Japan, South Korea, Mexico, the Middle East, South America, Southeast Asia, and Vietnam.",Corporate membership,"U.S. dairy processors, cooperatives, exporters, and allied companies, including Dairy Farmers of America; Lactalis USA; Leprino Foods; Land O’Lakes; Saputo USA; and ingredient suppliers, supported by the U.S. dairy checkoff.","United States (members), with export representation in multiple global markets","Dairy farming, dairy processing, export trade and dairy ingredients",HQ,https://www.usdec.org/,USA,Dairy export promotion; market development; technical and buyer training,https://www.usdec.org/about-us,"The U.S. Dairy Export Council (USDEC) is a non-profit, independent membership organization that represents the global trade interests of U.S. dairy producers, proprietary processors and cooperatives, ingredient suppliers and export traders.",
U.S. Dairy Export Council (USDEC),China,CHN,Asia,National,Trade (Export Promotion),Dairy,3,Companies + Cooperatives,"China, Japan, South Korea, Mexico, the Middle East, South America, Southeast Asia, and Vietnam.",Corporate membership,"U.S. dairy processors, cooperatives, exporters, and allied companies, including Dairy Farmers of America; Lactalis USA; Leprino Foods; Land O’Lakes; Saputo USA; and ingredient suppliers, supported by the U.S. dairy checkoff.","United States (members), with export representation in multiple global markets","Dairy farming, dairy processing, export trade and dairy ingredients",Activity,https://www.usdec.org/,USA,Dairy export promotion; market development; technical and buyer training,https://www.usdec.org/about-us,"The U.S. Dairy Export Council (USDEC) is a non-profit, independent membership organization that represents the global trade interests of U.S. dairy producers, proprietary processors and cooperatives, ingredient suppliers and export traders.",
U.S. Dairy Export Council (USDEC),Japan,JPN,Asia,National,Trade (Export Promotion),Dairy,3,Companies + Cooperatives,"China, Japan, South Korea, Mexico, the Middle East, South America, Southeast Asia, and Vietnam.",Corporate membership,"U.S. dairy processors, cooperatives, exporters, and allied companies, including Dairy Farmers of America; Lactalis USA; Leprino Foods; Land O’Lakes; Saputo USA; and ingredient suppliers, supported by the U.S. dairy checkoff.","United States (members), with export representation in multiple global markets","Dairy farming, dairy processing, export trade and dairy ingredients",Activity,https://www.usdec.org/,USA,Dairy export promotion; market development; technical and buyer training,https://www.usdec.org/about-us,"The U.S. Dairy Export Council (USDEC) is a non-profit, independent membership organization that represents the global trade interests of U.S. dairy producers, proprietary processors and cooperatives, ingredient suppliers and export traders.",
U.S. Dairy Export Council (USDEC),South Korea,KOR,Asia,National,Trade (Export Promotion),Dairy,3,Companies + Cooperatives,"China, Japan, South Korea, Mexico, the Middle East, South America, Southeast Asia, and Vietnam.",Corporate membership,"U.S. dairy processors, cooperatives, exporters, and allied companies, including Dairy Farmers of America; Lactalis USA; Leprino Foods; Land O’Lakes; Saputo USA; and ingredient suppliers, supported by the U.S. dairy checkoff.","United States (members), with export representation in multiple global markets","Dairy farming, dairy processing, export trade and dairy ingredients",Activity,https://www.usdec.org/,USA,Dairy export promotion; market development; technical and buyer training,https://www.usdec.org/about-us,"The U.S. Dairy Export Council (USDEC) is a non-profit, independent membership organization that represents the global trade interests of U.S. dairy producers, proprietary processors and cooperatives, ingredient suppliers and export traders.",
U.S. Dairy Export Council (USDEC),Mexico,MEX,North America,National,Trade (Export Promotion),Dairy,3,Companies + Cooperatives,"China, Japan, South Korea, Mexico, the Middle East, South America, Southeast Asia, and Vietnam.",Corporate membership,"U.S. dairy processors, cooperatives, exporters, and allied companies, including Dairy Farmers of America; Lactalis USA; Leprino Foods; Land O’Lakes; Saputo USA; and ingredient suppliers, supported by the U.S. dairy checkoff.","United States (members), with export representation in multiple global markets","Dairy farming, dairy processing, export trade and dairy ingredients",Activity,https://www.usdec.org/,USA,Dairy export promotion; market development; technical and buyer training,https://www.usdec.org/about-us,"The U.S. Dairy Export Council (USDEC) is a non-profit, independent membership organization that represents the global trade interests of U.S. dairy producers, proprietary processors and cooperatives, ingredient suppliers and export traders.",
U.S. Dairy Export Council (USDEC),Vietnam,VNM,Asia,National,Trade (Export Promotion),Dairy,3,Companies + Cooperatives,"China, Japan, South Korea, Mexico, the Middle East, South America, Southeast Asia, and Vietnam.",Corporate membership,"U.S. dairy processors, cooperatives, exporters, and allied companies, including Dairy Farmers of America; Lactalis USA; Leprino Foods; Land O’Lakes; Saputo USA; and ingredient suppliers, supported by the U.S. dairy checkoff.","United States (members), with export representation in multiple global markets","Dairy farming, dairy processing, export trade and dairy ingredients",Activity,https://www.usdec.org/,USA,Dairy export promotion; market development; technical and buyer training,https://www.usdec.org/about-us,"The U.S. Dairy Export Council (USDEC) is a non-profit, independent membership organization that represents the global trade interests of U.S. dairy producers, proprietary processors and cooperatives, ingredient suppliers and export traders.",
U.S. Farmers & Ranchers in Action (USFRA),United States,USA,North America,National,Producers & sustainability advocacy,Multi-commodity,2,Associations + Checkoffs,United States,Coalition / alliance,"Coalition of farmer-led organizations, commodity checkoff programs, and agribusiness partners, including American Farm Bureau Federation; National Milk Producers Federation; National Corn Growers Association; and multiple commodity boards.",United States,"Multi-commodity agriculture (beef, dairy, soy, pork, grains, eggs, crop inputs, sustainability)",HQ,https://usfarmersandranchers.org/,USA,Farmer and rancher sustainability leadership; climate and environmental engagement,https://usfarmersandranchers.org/our-story/,"To bring all of American agriculture together, with farmers and ranchers at the center, to collectively identify and tackle critical, long-term issues.",Official mission statement.
U.S. Grains Council,United States,USA,North America,National,Trade & market development,"Grains (Corn, Sorghum, Barley)",3,Producers + Companies,Mexico; Colombia; Japan; South Korea; Egypt; Nigeria,Hybrid (checkoff-based),"U.S. grain producers represented through checkoff programs, agribusiness companies, exporters, and ex-officio government partners (e.g. USDA).","United States (member base), with market-development programs in 50+ countries and the EU","Corn, sorghum, barley, DDGS, ethanol, grain trade and market development",HQ,https://grains.org/,Global,Grain export market development; trade missions; buyer education programs,https://grains.org/about/about-the-council/,"The U.S. Grains & BioProducts Council develops export markets for U.S. barley, corn, sorghum and related products including distiller’s dried grains with solubles (DDGS) and ethanol.",Official site currently brands the organization as the U.S. Grains & BioProducts Council.
U.S. Grains Council,Mexico,MEX,North America,National,Trade & market development,"Grains (Corn, Sorghum, Barley)",3,Producers + Companies,Mexico; Colombia; Japan; South Korea; Egypt; Nigeria,Hybrid (checkoff-based),"U.S. grain producers represented through checkoff programs, agribusiness companies, exporters, and ex-officio government partners (e.g. USDA).","United States (member base), with market-development programs in 50+ countries and the EU","Corn, sorghum, barley, DDGS, ethanol, grain trade and market development",Activity,https://grains.org/,Global,Grain export market development; trade missions; buyer education programs,https://grains.org/about/about-the-council/,"The U.S. Grains & BioProducts Council develops export markets for U.S. barley, corn, sorghum and related products including distiller’s dried grains with solubles (DDGS) and ethanol.",Official site currently brands the organization as the U.S. Grains & BioProducts Council.
U.S. Grains Council,Colombia,COL,South America,National,Trade & market development,"Grains (Corn, Sorghum, Barley)",3,Producers + Companies,Mexico; Colombia; Japan; South Korea; Egypt; Nigeria,Hybrid (checkoff-based),"U.S. grain producers represented through checkoff programs, agribusiness companies, exporters, and ex-officio government partners (e.g. USDA).","United States (member base), with market-development programs in 50+ countries and the EU","Corn, sorghum, barley, DDGS, ethanol, grain trade and market development",Activity,https://grains.org/,Global,Grain export market development; trade missions; buyer education programs,https://grains.org/about/about-the-council/,"The U.S. Grains & BioProducts Council develops export markets for U.S. barley, corn, sorghum and related products including distiller’s dried grains with solubles (DDGS) and ethanol.",Official site currently brands the organization as the U.S. Grains & BioProducts Council.
U.S. Grains Council,Japan,JPN,Asia,National,Trade & market development,"Grains (Corn, Sorghum, Barley)",3,Producers + Companies,Mexico; Colombia; Japan; South Korea; Egypt; Nigeria,Hybrid (checkoff-based),"U.S. grain producers represented through checkoff programs, agribusiness companies, exporters, and ex-officio government partners (e.g. USDA).","United States (member base), with market-development programs in 50+ countries and the EU","Corn, sorghum, barley, DDGS, ethanol, grain trade and market development",Activity,https://grains.org/,Global,Grain export market development; trade missions; buyer education programs,https://grains.org/about/about-the-council/,"The U.S. Grains & BioProducts Council develops export markets for U.S. barley, corn, sorghum and related products including distiller’s dried grains with solubles (DDGS) and ethanol.",Official site currently brands the organization as the U.S. Grains & BioProducts Council.
U.S. Grains Council,South Korea,KOR,Asia,National,Trade & market development,"Grains (Corn, Sorghum, Barley)",3,Producers + Companies,Mexico; Colombia; Japan; South Korea; Egypt; Nigeria,Hybrid (checkoff-based),"U.S. grain producers represented through checkoff programs, agribusiness companies, exporters, and ex-officio government partners (e.g. USDA).","United States (member base), with market-development programs in 50+ countries and the EU","Corn, sorghum, barley, DDGS, ethanol, grain trade and market development",Activity,https://grains.org/,Global,Grain export market development; trade missions; buyer education programs,https://grains.org/about/about-the-council/,"The U.S. Grains & BioProducts Council develops export markets for U.S. barley, corn, sorghum and related products including distiller’s dried grains with solubles (DDGS) and ethanol.",Official site currently brands the organization as the U.S. Grains & BioProducts Council.
U.S. Grains Council,Egypt,EGY,Africa,National,Trade & market development,"Grains (Corn, Sorghum, Barley)",3,Producers + Companies,Mexico; Colombia; Japan; South Korea; Egypt; Nigeria,Hybrid (checkoff-based),"U.S. grain producers represented through checkoff programs, agribusiness companies, exporters, and ex-officio government partners (e.g. USDA).","United States (member base), with market-development programs in 50+ countries and the EU","Corn, sorghum, barley, DDGS, ethanol, grain trade and market development",Activity,https://grains.org/,Global,Grain export market development; trade missions; buyer education programs,https://grains.org/about/about-the-council/,"The U.S. Grains & BioProducts Council develops export markets for U.S. barley, corn, sorghum and related products including distiller’s dried grains with solubles (DDGS) and ethanol.",Official site currently brands the organization as the U.S. Grains & BioProducts Council.
U.S. Grains Council,Nigeria,NGA,Africa,National,Trade & market development,"Grains (Corn, Sorghum, Barley)",3,Producers + Companies,Mexico; Colombia; Japan; South Korea; Egypt; Nigeria,Hybrid (checkoff-based),"U.S. grain producers represented through checkoff programs, agribusiness companies, exporters, and ex-officio government partners (e.g. USDA).","United States (member base), with market-development programs in 50+ countries and the EU","Corn, sorghum, barley, DDGS, ethanol, grain trade and market development",Activity,https://grains.org/,Global,Grain export market development; trade missions; buyer education programs,https://grains.org/about/about-the-council/,"The U.S. Grains & BioProducts Council develops export markets for U.S. barley, corn, sorghum and related products including distiller’s dried grains with solubles (DDGS) and ethanol.",Official site currently brands the organization as the U.S. Grains & BioProducts Council.
U.S. Soybean Export Council (USSEC),United States,USA,North America,National,Trade (Export Promotion),Soybeans,3,Producers + Companies,Vietnam; China; Indonesia; Philippines; Egypt,Hybrid (producer-led),"U.S. soybean producers represented by the American Soybean Association (ASA) and United Soybean Board (USB), alongside exporters, processors, and allied industry partners.","United States (member base), network reaches 80+ countries","Soybean value chain (production, processing, exports, feed, food, aquaculture)",HQ,https://ussec.org/,USA,Soy export promotion; sustainability certification; capacity building,https://ussec.org/about-ussec/,"The U.S. Soybean Export Council (USSEC) champions U.S. Soy worldwide. Through innovation, sustainability and partnerships, we connect farmers to global markets.",
U.S. Soybean Export Council (USSEC),Vietnam,VNM,Asia,National,Trade (Export Promotion),Soybeans,3,Producers + Companies,Vietnam; China; Indonesia; Philippines; Egypt,Hybrid (producer-led),"U.S. soybean producers represented by the American Soybean Association (ASA) and United Soybean Board (USB), alongside exporters, processors, and allied industry partners.","United States (member base), network reaches 80+ countries","Soybean value chain (production, processing, exports, feed, food, aquaculture)",Activity,https://ussec.org/,USA,Soy export promotion; sustainability certification; capacity building,https://ussec.org/about-ussec/,"The U.S. Soybean Export Council (USSEC) champions U.S. Soy worldwide. Through innovation, sustainability and partnerships, we connect farmers to global markets.",
U.S. Soybean Export Council (USSEC),China,CHN,Asia,National,Trade (Export Promotion),Soybeans,3,Producers + Companies,Vietnam; China; Indonesia; Philippines; Egypt,Hybrid (producer-led),"U.S. soybean producers represented by the American Soybean Association (ASA) and United Soybean Board (USB), alongside exporters, processors, and allied industry partners.","United States (member base), network reaches 80+ countries","Soybean value chain (production, processing, exports, feed, food, aquaculture)",Activity,https://ussec.org/,USA,Soy export promotion; sustainability certification; capacity building,https://ussec.org/about-ussec/,"The U.S. Soybean Export Council (USSEC) champions U.S. Soy worldwide. Through innovation, sustainability and partnerships, we connect farmers to global markets.",
U.S. Soybean Export Council (USSEC),Indonesia,IDN,Asia,National,Trade (Export Promotion),Soybeans,3,Producers + Companies,Vietnam; China; Indonesia; Philippines; Egypt,Hybrid (producer-led),"U.S. soybean producers represented by the American Soybean Association (ASA) and United Soybean Board (USB), alongside exporters, processors, and allied industry partners.","United States (member base), network reaches 80+ countries","Soybean value chain (production, processing, exports, feed, food, aquaculture)",Activity,https://ussec.org/,USA,Soy export promotion; sustainability certification; capacity building,https://ussec.org/about-ussec/,"The U.S. Soybean Export Council (USSEC) champions U.S. Soy worldwide. Through innovation, sustainability and partnerships, we connect farmers to global markets.",
U.S. Soybean Export Council (USSEC),Philippines,PHL,Asia,National,Trade (Export Promotion),Soybeans,3,Producers + Companies,Vietnam; China; Indonesia; Philippines; Egypt,Hybrid (producer-led),"U.S. soybean producers represented by the American Soybean Association (ASA) and United Soybean Board (USB), alongside exporters, processors, and allied industry partners.","United States (member base), network reaches 80+ countries","Soybean value chain (production, processing, exports, feed, food, aquaculture)",Activity,https://ussec.org/,USA,Soy export promotion; sustainability certification; capacity building,https://ussec.org/about-ussec/,"The U.S. Soybean Export Council (USSEC) champions U.S. Soy worldwide. Through innovation, sustainability and partnerships, we connect farmers to global markets.",
U.S. Soybean Export Council (USSEC),Egypt,EGY,Africa,National,Trade (Export Promotion),Soybeans,3,Producers + Companies,Vietnam; China; Indonesia; Philippines; Egypt,Hybrid (producer-led),"U.S. soybean producers represented by the American Soybean Association (ASA) and United Soybean Board (USB), alongside exporters, processors, and allied industry partners.","United States (member base), network reaches 80+ countries","Soybean value chain (production, processing, exports, feed, food, aquaculture)",Activity,https://ussec.org/,USA,Soy export promotion; sustainability certification; capacity building,https://ussec.org/about-ussec/,"The U.S. Soybean Export Council (USSEC) champions U.S. Soy worldwide. Through innovation, sustainability and partnerships, we connect farmers to global markets.",
Sorghum United,United States,USA,North America,Global,Value-Chain Coordination & Advocacy,"Sorghum, Millets",2,Mixed stakeholders,United States; India; Kenya; Zimbabwe; Malawi; Philippines,Network / NGO-style,"Global network of sorghum and millet farmers, researchers, processors, NGOs, and consumer-facing brands focused on sustainability and market development.",United States; Philippines; India; Kenya; Zimbabwe; Malawi; South Africa; additional regions in Africa/Europe/Latin America,"Sorghum and millets value chains, food security, climate-resilient agriculture",HQ,https://sorghumunited.org/,USA,Food security projects; sorghum and millet value chain development,https://sorghumunited.org/about/,Sorghum United Foundation is a global non-profit on a mission to transform food systems through the power of sorghum and other climate-resilient crops.,Official site presents the organization as Sorghum United Foundation.
Sorghum United,India,IND,Asia,Global,Value-Chain Coordination & Advocacy,"Sorghum, Millets",2,Mixed stakeholders,United States; India; Kenya; Zimbabwe; Malawi; Philippines,Network / NGO-style,"Global network of sorghum and millet farmers, researchers, processors, NGOs, and consumer-facing brands focused on sustainability and market development.",United States; Philippines; India; Kenya; Zimbabwe; Malawi; South Africa; additional regions in Africa/Europe/Latin America,"Sorghum and millets value chains, food security, climate-resilient agriculture",Activity,https://sorghumunited.org/,USA,Food security projects; sorghum and millet value chain development,https://sorghumunited.org/about/,Sorghum United Foundation is a global non-profit on a mission to transform food systems through the power of sorghum and other climate-resilient crops.,Official site presents the organization as Sorghum United Foundation.
Sorghum United,Kenya,KEN,Africa,Global,Value-Chain Coordination & Advocacy,"Sorghum, Millets",2,Mixed stakeholders,United States; India; Kenya; Zimbabwe; Malawi; Philippines,Network / NGO-style,"Global network of sorghum and millet farmers, researchers, processors, NGOs, and consumer-facing brands focused on sustainability and market development.",United States; Philippines; India; Kenya; Zimbabwe; Malawi; South Africa; additional regions in Africa/Europe/Latin America,"Sorghum and millets value chains, food security, climate-resilient agriculture",Activity,https://sorghumunited.org/,USA,Food security projects; sorghum and millet value chain development,https://sorghumunited.org/about/,Sorghum United Foundation is a global non-profit on a mission to transform food systems through the power of sorghum and other climate-resilient crops.,Official site presents the organization as Sorghum United Foundation.
